review_priority,rule_id,source_page,source_text,auto_source_type,auto_subject,auto_relation,auto_object,auto_negation_present,relation_candidate,in_gold_set,review_decision,approved?,corrected_source_type,corrected_subject,corrected_relation,corrected_object,corrected_negation_present,kg_edge_candidate,mimic_availability,experiment_usable,reviewer_note,rejection_reason,padis_domain,source_section,patient_population,required_clinical_variables,confidence,review_status
medium,D-084,29,"Factors that have been shown to correlate with sleep disruption in univariate analyses include illness severity (494), delirium (442, 443), hypoxemia and alkalosis (494), receiving a benzodiazepine (442) or propo- fol (464), patient-ventilator asynchrony (454), spontaneous (vs mechanically supported) breathing (452), and a spontaneous mode of ventilation (vs a controlled mode) (472, 495).",evidence,BenzodiazepineExposure,pending,Delirium,False,"unknown_relation (subject=BenzodiazepineExposure, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,benzodiazepine_exposure,delirium_assessment",0.5,pending
medium,D-086,31,"Evidence Gaps: Available studies cannot fully elucidate the relationship between sleep alterations in the critically ill and important outcomes such as delirium occurrence, duration of mechanical ventilation, ICU LOS, and mortality are inadequate to confirm whether an association exists between the sleep altera- tions seen in the critically ill adults and important outcomes such as delirium occurrence, duration of mechanical ventilation, ICU LOS, and mortality.",research_gap,MechanicalVentilation,pending,Delirium,True,null_effect_or_gap (no directional relation),yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,mechanical_ventilation",0.5,pending
low,D-001,1,"23 Center for Health Services Research, Vanderbilt University Medical Cen- ter, Nashville, TN.DOI: 10.1097/CCM.0000000000003299 Clinical Practice Guidelines for the Prevention and Management of Pain, Agitation/Sedation, Delirium, Immobility, and Sleep Disruption in Adult Patients in the ICU John W.",pending,Sedation,pending,Delirium,False,"unknown_relation (subject=Sedation, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
low,D-002,2,Pandharipande’s institution received funding from Hospira (research grant to purchase study drug [dexmedetomidine] in collaboration with a NIH-funded RO1 study) and disclosed that he is the past president of the American Delirium Society.,evidence,DexmedetomidineExposure,pending,Delirium,False,"unknown_relation (subject=DexmedetomidineExposure, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,dexmedetomidine_exposure",0.5,pending
low,D-003,2,"Balas received funding from Select Medical (primary investigator on research study exploring Assess, Prevent, and Manage Pain, Both Spontaneous Awaken- ing Trials and Spontaneous Breathing Trials, Choice of analgesia and sedation, Delirium: Assess, Prevent, and Manage, Early mobility and Exercise, and Family engagement and empowerment bundle adoption).",evidence,Sedation,pending,Delirium,False,"unknown_relation (subject=Sedation, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
low,D-004,2,"For information regarding this article, E-mail: j.devlin@neu.edu Objective: To update and expand the 2013 Clinical Practice Guidelines for the Management of Pain, Agitation, and Delirium in Adult Patients in the ICU.",pending,Agitation,pending,Delirium,False,"unknown_relation (subject=Agitation, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
low,D-005,3,"Methods: Content experts, methodologists, and ICU survivors were represented in each of the five sections of the guidelines: Pain, Agita- tion/sedation, Delirium, Immobility (mobilization/rehabilitation), and Sleep (disruption).",pending,Sedation,pending,Delirium,False,"unknown_relation (subject=Sedation, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
low,D-006,3,"Results: The Pain, Agitation/Sedation, Delirium, Immobility (mobi- lization/rehabilitation), and Sleep (disruption) panel issued 37 recommendations (three strong and 34 conditional), two good practice statements, and 32 ungraded, nonactionable statements.",pending,Sedation,pending,Delirium,False,"unknown_relation (subject=Sedation, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
low,D-009,3,"(Crit Care Med 2018; 46:e825–e873) Key Words: delirium; guidelines; immobility; intensive care; mobilization; pain; sedation; sleep C linical practice guidelines are published, often by pro- fessional societies, because they provide a current and transparently analyzed review of relevant research with the aim to guide clinical practice.",pending,Sedation,pending,Delirium,False,"unknown_relation (subject=Sedation, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
low,D-010,3,"The 2018 Pain, Agitation/ sedation, Delirium, Immobility (rehabilitation/mobilization), and Sleep (disruption) (PADIS) guideline builds on this mis- sion by updating the 2013 Pain, Agitation, and Delirium (PAD) guidelines (1); by adding two inextricably related clinical care topics—rehabilitation/mobilization and sleep; by including patients as collaborators and coauthors; and by inviting an international panel of experts from high-income countries as an early step toward incorporating more dive",pending,Sedation,pending,Delirium,False,"unknown_relation (subject=Sedation, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
low,D-011,7,"Online Special Article Critical Care Medicine www.ccmjournal.org e831 important safety concerns, such as sedation, delirium, respiratory depression, ileus, and immunosuppression, may lengthen ICU LOS and worsen post-ICU patient outcome.",pending,Sedation,pending,Delirium,False,"unknown_relation (subject=Sedation, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
low,D-013,8,"The incidence of side effects (i.e., nausea delir- ium, hallucinations, hypoventilation, pruritus, and sedation) was not different between the ketamine and opioid-alone groups.",pending,OpioidExposure,pending,Delirium,True,"unknown_relation (subject=OpioidExposure, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,opioid_exposure",0.5,pending
low,D-020,15,"These included time to extubation, time to light sedation, and delirium, and long-term outcomes such as 90-day mortality, cognitive and physical functioning, institu- tionalization, and psychologic dysfunction.",pending,Sedation,pending,Delirium,False,"unknown_relation (subject=Sedation, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
low,D-028,18,"These factors include the following: older age (250, 264); non-coma level of arousal; neurologic or psychiatric condi- tions including delirium (257, 258, 261, 268); sedative type/ strategy (169, 242, 261, 272); mechanical ventilation use (242, 261, 263); use of invasive devices (246, 250); nurse-to-patient ratio and perceived workload (242, 268, 271); and time of day (249).",pending,MechanicalVentilation,pending,Delirium,False,"unknown_relation (subject=MechanicalVentilation, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,mechanical_ventilation",0.5,pending
low,D-033,19,"Moderate evidence exists showing the following increase the risk for delirium: history of hypertension; admission because of a neurologic disease; trauma; and the use of psychoactive medication (e.g., antipsychotics, anti- convulsants).",pending,Sedation,pending,Delirium,False,"unknown_relation (subject=Sedation, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
low,D-034,19,See the “Sedation section” for a review on how sedative choice may affect delirium and the “Sleep section” regarding the relationship between sleep and delirium.,pending,Sedation,pending,Delirium,False,"unknown_relation (subject=Sedation, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
low,D-036,19,"Remarks: The previous guidelines provided psychomet- ric appraisals of pain, sedation, and delirium screening tools (1).",pending,Sedation,pending,Delirium,False,"unknown_relation (subject=Sedation, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
low,D-040,20,"Delirium screening using the CAM-ICU or the ICDSC is quick (2–5 min) (284, 286).",pending,CAM_ICU,pending,Delirium,False,"unknown_relation (subject=CAM_ICU, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
low,D-044,21,"Online Special Article Critical Care Medicine www.ccmjournal.org e845 Rationale: Four observational cohort studies have examined delirium assessments at different levels of wakefulness and sedation as assessed by the CAM-ICU, ICDSC, and RASS (312– 315).",evidence,Sedation,pending,Delirium,False,"unknown_relation (subject=Sedation, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
low,D-047,21,"A total of 12,699 delirium assessments (97% involving the CAM-ICU) were evaluated in patients with a RASS between 0 and –2.",pending,RASS,pending,Delirium,False,"unknown_relation (subject=RASS, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
low,D-053,21,"Rationale: The outcomes deemed critical to this recommen- dation included delirium incidence and duration, duration of mechanical ventilation, length of ICU stay, and mortality.",pending,MechanicalVentilation,pending,Delirium,False,"unknown_relation (subject=MechanicalVentilation, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,mechanical_ventilation",0.5,pending
low,D-055,22,"Devlin et al e846 www.ccmjournal.org September 2018 • Volume 46 • Number 9 evidence profile, found that administration of low-dose IV haloperidol in the ICU until delirium developed did not help prevent delirium or affect 90-day survival (369).",evidence,Sedation,pending,Delirium,True,"unknown_relation (subject=Sedation, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
low,D-061,22,"The outcomes deemed critical to this recommendation included delirium incidence, duration, and severity; duration of mechanical ventilation; ICU LOS; and mortality.",pending,MechanicalVentilation,pending,Delirium,False,"unknown_relation (subject=MechanicalVentilation, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,mechanical_ventilation",0.5,pending
low,D-066,22,"Rationale: The outcomes deemed most critical to this ques- tion included delirium duration, duration of mechanical ventilation, ICU LOS, and mortality.",pending,MechanicalVentilation,pending,Delirium,False,"unknown_relation (subject=MechanicalVentilation, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,mechanical_ventilation",0.5,pending
low,D-070,23,"Although this recommendation discourages the “routine” use of antipsychotic agents in the treatment of delirium, patients who experience significant distress secondary to symptoms of a delirium such as anxiety, fearfulness, hallucinations, or delusions, or who are agitated and may be physically harmful to them- selves or others, may benefit from short-term use of haloperidol or an atypical antipsychotic until these distressing symptoms resolve based on the panel’s clinical experience.",pending,Sedation,pending,Delirium,False,"unknown_relation (subject=Sedation, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
low,D-077,24,"Given the growing literature in this field and the interplay of rehabilitation/mobilization with pain, agitation, and delirium, this topic was introduced as a new part of the present guideline.",pending,Agitation,pending,Delirium,False,"unknown_relation (subject=Agitation, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
low,D-079,26,"In addition to emotional distress, sleep disruption has also been hypothesized to contribute to ICU delirium (441–443), prolonged duration of mechanical ventilation (444), deranged immune function (445, 446), and neurocognitive dysfunc- tion.",pending,MechanicalVentilation,pending,Delirium,False,"unknown_relation (subject=MechanicalVentilation, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,mechanical_ventilation",0.5,pending
low,D-081,28,"These discor - dances might be due to several factors such as total record- ing time, quality of the recordings, experience of the scorer (awareness of atypical sleep), the criteria used to analyze sleep (i.e., Rechtschaffen et Kales vs Drouot-Watson rules) (457, 475, 476), disease severity, LOS on the day of polysomnogra- phy evaluation, both sedative type and depth of sedation, and whether delirium is present.",pending,Sedation,pending,Delirium,False,"unknown_relation (subject=Sedation, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
low,D-082,29,"When criteria are used to exclude patients with known factors for these abnormal electroencephalogram patterns (e.g., receiv- ing sedative/opioids, having delirium coma or sepsis, or with a history of epilepsy), the prevalence of atypical sleep becomes nonexistent (0%) (464).",pending,OpioidExposure,pending,Delirium,False,"unknown_relation (subject=OpioidExposure, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,opioid_exposure",0.5,pending
low,D-085,31,Online Special Article Critical Care Medicine www.ccmjournal.org e855 was associated with shorter delirium duration and greater venti- lator-free days (497).,pending,MechanicalVentilation,associatedWith,Delirium,False,associatedWith (cue: associated with),no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,mechanical_ventilation",0.75,pending
