rule_id,padis_domain,source_page,source_section,source_text,patient_population,subject,relation,relation_candidate,object,recommendation_strength,evidence_quality,source_type,required_clinical_variables,mimic_availability,confidence,review_status,approved?,corrected_subject,corrected_relation,corrected_object,reviewer_note,experiment_usable,negation_present,rejection_reason
D-086,A-PADIS,31,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Evidence Gaps: Available studies cannot fully elucidate the relationship between sleep alterations in the critically ill and important outcomes such as delirium occurrence, duration of mechanical ventilation, ICU LOS, and mortality are inadequate to confirm whether an association exists between the sleep altera- tions seen in the critically ill adults and important outcomes such as delirium occurrence, duration of mechanical ventilation, ICU LOS, and mortality.",Adult ICU,MechanicalVentilation,pending,null_effect_or_gap (no directional relation),Delirium,pending,pending,research_gap,"CAM-ICU,RASS,delirium_assessment,mechanical_ventilation",undecided,0.5,pending,,,,,,no,True,
D-001,A-PADIS,1,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"23 Center for Health Services Research, Vanderbilt University Medical Cen- ter, Nashville, TN.DOI: 10.1097/CCM.0000000000003299 Clinical Practice Guidelines for the Prevention and Management of Pain, Agitation/Sedation, Delirium, Immobility, and Sleep Disruption in Adult Patients in the ICU John W.",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-002,A-PADIS,2,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Pandharipande’s institution received funding from Hospira (research grant to purchase study drug [dexmedetomidine] in collaboration with a NIH-funded RO1 study) and disclosed that he is the past president of the American Delirium Society.,Adult ICU,DexmedetomidineExposure,pending,"unknown_relation (subject=DexmedetomidineExposure, object=Delirium)",Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment,dexmedetomidine_exposure",undecided,0.5,pending,,,,,,no,False,
D-003,A-PADIS,2,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Balas received funding from Select Medical (primary investigator on research study exploring Assess, Prevent, and Manage Pain, Both Spontaneous Awaken- ing Trials and Spontaneous Breathing Trials, Choice of analgesia and sedation, Delirium: Assess, Prevent, and Manage, Early mobility and Exercise, and Family engagement and empowerment bundle adoption).",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-004,A-PADIS,2,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"For information regarding this article, E-mail: j.devlin@neu.edu Objective: To update and expand the 2013 Clinical Practice Guidelines for the Management of Pain, Agitation, and Delirium in Adult Patients in the ICU.",Adult ICU,Agitation,pending,"unknown_relation (subject=Agitation, object=Delirium)",Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-005,A-PADIS,3,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Methods: Content experts, methodologists, and ICU survivors were represented in each of the five sections of the guidelines: Pain, Agita- tion/sedation, Delirium, Immobility (mobilization/rehabilitation), and Sleep (disruption).",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-006,A-PADIS,3,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Results: The Pain, Agitation/Sedation, Delirium, Immobility (mobi- lization/rehabilitation), and Sleep (disruption) panel issued 37 recommendations (three strong and 34 conditional), two good practice statements, and 32 ungraded, nonactionable statements.",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-009,A-PADIS,3,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"(Crit Care Med 2018; 46:e825–e873) Key Words: delirium; guidelines; immobility; intensive care; mobilization; pain; sedation; sleep C linical practice guidelines are published, often by pro- fessional societies, because they provide a current and transparently analyzed review of relevant research with the aim to guide clinical practice.",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-010,A-PADIS,3,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"The 2018 Pain, Agitation/ sedation, Delirium, Immobility (rehabilitation/mobilization), and Sleep (disruption) (PADIS) guideline builds on this mis- sion by updating the 2013 Pain, Agitation, and Delirium (PAD) guidelines (1); by adding two inextricably related clinical care topics—rehabilitation/mobilization and sleep; by including patients as collaborators and coauthors; and by inviting an international panel of experts from high-income countries as an early step toward incorporating more dive",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-011,A-PADIS,7,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Online Special Article Critical Care Medicine www.ccmjournal.org e831 important safety concerns, such as sedation, delirium, respiratory depression, ileus, and immunosuppression, may lengthen ICU LOS and worsen post-ICU patient outcome.",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-013,A-PADIS,8,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"The incidence of side effects (i.e., nausea delir- ium, hallucinations, hypoventilation, pruritus, and sedation) was not different between the ketamine and opioid-alone groups.",Adult ICU,OpioidExposure,pending,"unknown_relation (subject=OpioidExposure, object=Delirium)",Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment,opioid_exposure",undecided,0.5,pending,,,,,,no,True,
D-020,A-PADIS,15,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"These included time to extubation, time to light sedation, and delirium, and long-term outcomes such as 90-day mortality, cognitive and physical functioning, institu- tionalization, and psychologic dysfunction.",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-028,A-PADIS,18,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"These factors include the following: older age (250, 264); non-coma level of arousal; neurologic or psychiatric condi- tions including delirium (257, 258, 261, 268); sedative type/ strategy (169, 242, 261, 272); mechanical ventilation use (242, 261, 263); use of invasive devices (246, 250); nurse-to-patient ratio and perceived workload (242, 268, 271); and time of day (249).",Adult ICU,MechanicalVentilation,pending,"unknown_relation (subject=MechanicalVentilation, object=Delirium)",Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment,mechanical_ventilation",undecided,0.5,pending,,,,,,no,False,
D-033,A-PADIS,19,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Moderate evidence exists showing the following increase the risk for delirium: history of hypertension; admission because of a neurologic disease; trauma; and the use of psychoactive medication (e.g., antipsychotics, anti- convulsants).",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-034,A-PADIS,19,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),See the “Sedation section” for a review on how sedative choice may affect delirium and the “Sleep section” regarding the relationship between sleep and delirium.,Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-036,A-PADIS,19,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Remarks: The previous guidelines provided psychomet- ric appraisals of pain, sedation, and delirium screening tools (1).",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-040,A-PADIS,20,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Delirium screening using the CAM-ICU or the ICDSC is quick (2–5 min) (284, 286).",Adult ICU,CAM_ICU,pending,"unknown_relation (subject=CAM_ICU, object=Delirium)",Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-044,A-PADIS,21,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Online Special Article Critical Care Medicine www.ccmjournal.org e845 Rationale: Four observational cohort studies have examined delirium assessments at different levels of wakefulness and sedation as assessed by the CAM-ICU, ICDSC, and RASS (312– 315).",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-047,A-PADIS,21,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"A total of 12,699 delirium assessments (97% involving the CAM-ICU) were evaluated in patients with a RASS between 0 and –2.",Adult ICU,RASS,pending,"unknown_relation (subject=RASS, object=Delirium)",Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-053,A-PADIS,21,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Rationale: The outcomes deemed critical to this recommen- dation included delirium incidence and duration, duration of mechanical ventilation, length of ICU stay, and mortality.",Adult ICU,MechanicalVentilation,pending,"unknown_relation (subject=MechanicalVentilation, object=Delirium)",Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment,mechanical_ventilation",undecided,0.5,pending,,,,,,no,False,
D-055,A-PADIS,22,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Devlin et al e846 www.ccmjournal.org September 2018 • Volume 46 • Number 9 evidence profile, found that administration of low-dose IV haloperidol in the ICU until delirium developed did not help prevent delirium or affect 90-day survival (369).",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,True,
D-061,A-PADIS,22,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"The outcomes deemed critical to this recommendation included delirium incidence, duration, and severity; duration of mechanical ventilation; ICU LOS; and mortality.",Adult ICU,MechanicalVentilation,pending,"unknown_relation (subject=MechanicalVentilation, object=Delirium)",Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment,mechanical_ventilation",undecided,0.5,pending,,,,,,no,False,
D-066,A-PADIS,22,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Rationale: The outcomes deemed most critical to this ques- tion included delirium duration, duration of mechanical ventilation, ICU LOS, and mortality.",Adult ICU,MechanicalVentilation,pending,"unknown_relation (subject=MechanicalVentilation, object=Delirium)",Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment,mechanical_ventilation",undecided,0.5,pending,,,,,,no,False,
D-070,A-PADIS,23,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Although this recommendation discourages the “routine” use of antipsychotic agents in the treatment of delirium, patients who experience significant distress secondary to symptoms of a delirium such as anxiety, fearfulness, hallucinations, or delusions, or who are agitated and may be physically harmful to them- selves or others, may benefit from short-term use of haloperidol or an atypical antipsychotic until these distressing symptoms resolve based on the panel’s clinical experience.",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-077,A-PADIS,24,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Given the growing literature in this field and the interplay of rehabilitation/mobilization with pain, agitation, and delirium, this topic was introduced as a new part of the present guideline.",Adult ICU,Agitation,pending,"unknown_relation (subject=Agitation, object=Delirium)",Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-079,A-PADIS,26,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"In addition to emotional distress, sleep disruption has also been hypothesized to contribute to ICU delirium (441–443), prolonged duration of mechanical ventilation (444), deranged immune function (445, 446), and neurocognitive dysfunc- tion.",Adult ICU,MechanicalVentilation,pending,"unknown_relation (subject=MechanicalVentilation, object=Delirium)",Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment,mechanical_ventilation",undecided,0.5,pending,,,,,,no,False,
D-081,A-PADIS,28,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"These discor - dances might be due to several factors such as total record- ing time, quality of the recordings, experience of the scorer (awareness of atypical sleep), the criteria used to analyze sleep (i.e., Rechtschaffen et Kales vs Drouot-Watson rules) (457, 475, 476), disease severity, LOS on the day of polysomnogra- phy evaluation, both sedative type and depth of sedation, and whether delirium is present.",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-082,A-PADIS,29,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"When criteria are used to exclude patients with known factors for these abnormal electroencephalogram patterns (e.g., receiv- ing sedative/opioids, having delirium coma or sepsis, or with a history of epilepsy), the prevalence of atypical sleep becomes nonexistent (0%) (464).",Adult ICU,OpioidExposure,pending,"unknown_relation (subject=OpioidExposure, object=Delirium)",Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment,opioid_exposure",undecided,0.5,pending,,,,,,no,False,
D-085,A-PADIS,31,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Online Special Article Critical Care Medicine www.ccmjournal.org e855 was associated with shorter delirium duration and greater venti- lator-free days (497).,Adult ICU,MechanicalVentilation,associatedWith,associatedWith (cue: associated with),Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment,mechanical_ventilation",undecided,0.75,pending,,,,,,no,False,
